"","id","creator","date","publisher","subject1","title"
"25","1songsofhelcucka00dors","Dorsey, James Owen, 1848-1895",1888,"Boston and New York : Pub. for the American folk-lore society by Houghton, Mifflin and company","Indians of North America","...1.--Songs of the Helcucka society; 2.--A Teton Dakota ghost story; 3.--Ponka stories; 4.--Abstracts of Ponka and Omaha myths"
"26","2007smithsonianf00smit",NA,2006,"Washington : Smithsonian Institution Center for Folklife and Cultural Heritage","National Museum of African American History and Culture (U.S.)","The 2007 Smithsonian Folklife Festival : Mekong River, connecting cultures; Northern Ireland at the Smithsonian; Roots of Virginia Culture"
"27","2008smithsonianf00smit",NA,2008,"Washington : Smithsonian Institution Center for Folklife and Cultural Heritage","United States. National Aeronautics and Space Administration","The 2008 Smithsonian Folklife Festival : Bhutan, land of the Thunder Dragon ; NASA, fifty years and beyond ; Texas, a celebration of music, food and wine"
"28","2500farttechniqu00coop","Cooper Union Museum for the Arts of Decoration",1948,"[New York]",NA,"2500 F., the art and technique of modern glass"
"29","34thannualsmiths00smit",NA,2000,"Washington : Smithsonian Institution Center for Folklife and Cultural Heritage","Smithsonian Folklife Festival 2000 : Washington, D.C.)","34th annual Smithsonian Folklife Festival on the National Mall, Washington, D.C., June 23-27 & June 30-July 4, 2000"
"30","3500ietremilacin00gell","Gelli, Jacopo, 1858-1935",1908,"Milano, Hoepli",NA,"3500 [i.e. Tremila cinquecento] ex libris italiani"
"31","35thannualsmiths00smit",NA,2001,"Washington : Smithsonian Institution Center for Folklife and Cultural Heritage","Smithsonian Folklife Festival 2001 : Washington, D.C.)","35th annual Smithsonian Folklife Festival on the National Mall, Washington, D.C., June 27-July 1 & July 4-July8, 2001"
"32","37thannualsmiths00smit",NA,2003,"Washington, D.C. : Smithsonian Institution Center for Folklife and Cultural Heritage","Smithsonian Folklife Festival 2003 : Washington, D.C.)","37th annual Smithsonian Folklife Festival : Appalachia, heritage and harmony; Mali, from Timbuktu to Washington; Scotland at the Smithsonian, June 25-July 6, 2003"
"33","39thannualsmiths00smit",NA,2005,"Washington, D.C. : Smithsonian Institution, Center for Folklife and Cultural Heritage","Smithsonian Folklife Festival","39th Annual Smithsonian Folklife Festival : Food culture USA : Forest service, culture and community ; Nuestra música: music in latino culture ; Oman: desert, oasis and sea"
"34","400japanesecolor00ande",NA,1917,"New York : The Anderson Galleries",NA,"400 Japanese Color Prints Collected by Arnold Genthe Notable Examples of the Important Ukiyoye Artists. A Page from Harunobu's Maneyemon, Utamaro's Early Print after a Harunobu Painting, Shuncho's ""Promenade,"" Hiroshige's ""Misty Moonlight,"" Hokusai's ""Return from the Picnic."" Pillar Prints by Toyonobu, Haruji, Kiyonaga, Koriusai, Masunobu, Yeishin, Triptychs by Utamaro, Toyokuni I., Yeizan. Eighty Surimono in Flawless Condition, Including Examples by Shunman, Gakutei, Hokusai, Shinsai"
"35","40thannualsmiths00smit",NA,2006,"Washington : Smithsonian Institution Center for Folklife and Cultural Heritage","Smithsonian Folklife Festival 2006 : Washington, D.C.)","40th annual Smithsonian Folklife Festival, Washington, D.C., June 30-July 11, 2006"
"36","4polkaspianofor00Wall",NA,NA,"Baltimore : Geo. Willig, Jr.","Polkas","4 polkas for the piano forte"
"37","60planchesdorfvr00eude","Eudel, Paul, 1837-1911",1884,"A Paris, chez Quantin","Germain, Pierre","60 planches d'orfèvrerie de la collection de Paul Eudel pour faire suite aux éléments d'orfèvrerie composés par Pierre Germain"
"38","abbotththayermem00tha",NA,1922,"Washington, D.C. : Corcoran Gallery of Art",NA,"Abbott H. Thayer memorial exhibition : The Corcoran Gallery of Art, Washington, D.C., from Tuesday, May 9th, to Wednesday, May 31st, 1922, inclusive"
"39","abbotththayermem00thay",NA,1922,"Washington, D.C. : Corcoran Gallery of Art",NA,"Abbott H. Thayer memorial exhibition : The Corcoran Gallery of Art, Washington, D.C., from Tuesday, May 9th, to Wednesday, May 31st, 1922, inclusive"
"40","abcaboutcollecti00yoxallj","Yoxall, J. H. (James Henry), Sir, 1857-1925",1910,"Philadelphia : G.W. Jacobs",NA,"The ABC about collecting"
"41","abcofbridge00tenn","Tennant, Eleanor A",1901,"New York : Street & Smith","Contract bridge","The abc of bridge"
"42","abcofcollecting00blac","Blacker, J. F",1913,"London, S. Paul & Co.","Pottery","The ABC of collecting old continental pottery"
"43","abhandlungenderk182233deut","Deutsche Akademie der Wissenschaften zu Berlin",1822,"Berlin : Realschul-Buchhandlung",NA,"Abhandlungen der Königlichen Akademie der Wissenschaften in Berlin"
"44","abhandlungenderk182272deut","Deutsche Akademie der Wissenschaften zu Berlin",1822,"Berlin : Realschul-Buchhandlung",NA,"Abhandlungen der Königlichen Akademie der Wissenschaften in Berlin"
"45","abhandlungenderk1824deut","Deutsche Akademie der Wissenschaften zu Berlin",1822,"Berlin : Realschul-Buchhandlung",NA,"Abhandlungen der Königlichen Akademie der Wissenschaften in Berlin"
"46","abhandlungenderk1825deut","Deutsche Akademie der Wissenschaften zu Berlin",1822,"Berlin : Realschul-Buchhandlung",NA,"Abhandlungen der Königlichen Akademie der Wissenschaften in Berlin"
"47","abhandlungenderk1826deut","Deutsche Akademie der Wissenschaften zu Berlin",1822,"Berlin : Realschul-Buchhandlung",NA,"Abhandlungen der Königlichen Akademie der Wissenschaften in Berlin"
"48","abhandlungenderk1827deut","Deutsche Akademie der Wissenschaften zu Berlin",1822,"Berlin : Realschul-Buchhandlung",NA,"Abhandlungen der Königlichen Akademie der Wissenschaften in Berlin"
"49","abhandlungenderk1828deut","Deutsche Akademie der Wissenschaften zu Berlin",1822,"Berlin : Realschul-Buchhandlung",NA,"Abhandlungen der Königlichen Akademie der Wissenschaften in Berlin"
"50","abhandlungenderk1829deut","Deutsche Akademie der Wissenschaften zu Berlin",1822,"Berlin : Realschul-Buchhandlung",NA,"Abhandlungen der Königlichen Akademie der Wissenschaften in Berlin"
"51","abhandlungenderk1830deut","Deutsche Akademie der Wissenschaften zu Berlin",1822,"Berlin : Realschul-Buchhandlung",NA,"Abhandlungen der Königlichen Akademie der Wissenschaften in Berlin"
"52","abhandlungenderk1831deut","Deutsche Akademie der Wissenschaften zu Berlin",1822,"Berlin : Realschul-Buchhandlung",NA,"Abhandlungen der Königlichen Akademie der Wissenschaften in Berlin"
"53","abhandlungenderk18321deut","Deutsche Akademie der Wissenschaften zu Berlin",1822,"Berlin : Realschul-Buchhandlung",NA,"Abhandlungen der Königlichen Akademie der Wissenschaften in Berlin"
"54","abhandlungenderk18322deut","Deutsche Akademie der Wissenschaften zu Berlin",1822,"Berlin : Realschul-Buchhandlung",NA,"Abhandlungen der Königlichen Akademie der Wissenschaften in Berlin"
"55","abhandlungenderk18323deut","Deutsche Akademie der Wissenschaften zu Berlin",1822,"Berlin : Realschul-Buchhandlung",NA,"Abhandlungen der Königlichen Akademie der Wissenschaften in Berlin"
"56","abhandlungenderk18324deut","Deutsche Akademie der Wissenschaften zu Berlin",1822,"Berlin : Realschul-Buchhandlung",NA,"Abhandlungen der Königlichen Akademie der Wissenschaften in Berlin"
"57","abhandlungenderk1833deut","Deutsche Akademie der Wissenschaften zu Berlin",1822,"Berlin : Realschul-Buchhandlung",NA,"Abhandlungen der Königlichen Akademie der Wissenschaften in Berlin"
"58","abhandlungenderk1834deut","Deutsche Akademie der Wissenschaften zu Berlin",1822,"Berlin : Realschul-Buchhandlung",NA,"Abhandlungen der Königlichen Akademie der Wissenschaften in Berlin"
"59","abhandlungenderk1835deut","Deutsche Akademie der Wissenschaften zu Berlin",1822,"Berlin : Realschul-Buchhandlung",NA,"Abhandlungen der Königlichen Akademie der Wissenschaften in Berlin"
"60","abhandlungenderk1836deut","Deutsche Akademie der Wissenschaften zu Berlin",1822,"Berlin : Realschul-Buchhandlung",NA,"Abhandlungen der Königlichen Akademie der Wissenschaften in Berlin"
"61","abhandlungenderk1837deut","Deutsche Akademie der Wissenschaften zu Berlin",1822,"Berlin : Realschul-Buchhandlung",NA,"Abhandlungen der Königlichen Akademie der Wissenschaften in Berlin"
"62","abhandlungenderk1838deut","Deutsche Akademie der Wissenschaften zu Berlin",1822,"Berlin : Realschul-Buchhandlung",NA,"Abhandlungen der Königlichen Akademie der Wissenschaften in Berlin"
"63","abhandlungenderk1839deut","Deutsche Akademie der Wissenschaften zu Berlin",1822,"Berlin : Realschul-Buchhandlung",NA,"Abhandlungen der Königlichen Akademie der Wissenschaften in Berlin"
"64","abhandlungenderk1840deut","Deutsche Akademie der Wissenschaften zu Berlin",1822,"Berlin : Realschul-Buchhandlung",NA,"Abhandlungen der Königlichen Akademie der Wissenschaften in Berlin"
"65","abhandlungenderk1912kn","Königlich Preussische Akademie der Wissenschaften zu Berlin. Physikalisch-Mathematische Classe",1908,"Berlin : Verlag der Königlichen Akademie der Wissenschaften",NA,"Abhandlungen der Königlich Preussischen Akademie der Wissenschaften"
"66","abnakistheirethn00baxt",NA,1890,"[Maine?] : B. Thurston","Abenaki Indians","The Abnakis and their ethnic relations"
"67","aboutetchingetch00phil",NA,1890,"Philadelphia, R.M. Lindsay",NA,"About etching and etchers; or, Short talks about the graphic arts, artists and some of their latest productions. Illustrated"
"68","abstractsoftech221955gett",NA,1955,"Washington","Archaeology","Abstracts of technical studies in art and archaeology, 1943-1952"
"69","abyssiniathrough00vivi",NA,1901,"London, C.A. Pearson, ltd.",NA,"Abyssinia; through the Lion-land to the court of the Lion of Judah"
"70","Abyssinie00RaffA","Raffray, Achille",1880,"Paris : Plon",NA,"Abyssinie"
"71","academysketchesc00nati",NA,1877,"New York, G.P. Putnam's sons",NA,"Academy sketches, comprising reproductions in fac-simile from drawings by the artists, of 110 of the pictures in the annual exhibition for 1877 of the National academy of design, with descriptive notes by ""Nemo."""
"72","accountlateimpr00Aldi","Aldini, Giovanni, 1762-1834",1803,"London : Printed for Cuthell and Martin ... and J. Murray ... by Wilks and Taylor ...","Electricity","An account of the late improvements in galvanism : with a series of curious and interesting experiments performed before the commissioners of the French National Institute, and repeated lately in the anatomical theatres of London"
"73","accountofcomet7121781hers",NA,1781,NA,NA,"Account of a comet"
"74","accountofnativea01wint","Winterbottom, Thomas Masterman, 1765-1859",1803,"London : Printed by C. Whittingham : Sold by John Hatchard",NA,"An account of the native Africans in the neighbourhood of Sierra Leone : to which is added an account of the present state of medicine among them"
"75","accountofnativea02wint","Winterbottom, Thomas Masterman, 1765-1859",1803,"London : Printed by C. Whittingham : Sold by John Hatchard",NA,"An account of the native Africans in the neighbourhood of Sierra Leone : to which is added an account of the present state of medicine among them"
"76","accountofsmithso00rhee","Rhees, William Jones, 1830-1907",1869,"Philadelphia, Collins, printer",NA,"An account of the Smithsonian institution, its founder, building, operations, etc."
"77","Aceshigh00Robe",NA,1918,"New York : Belwin","Marches (Piano)","Aces high : over the clouds : march"
"78","Aceshigh00RobeA",NA,1918,"New York, N.Y. : Belwin","Marches (Piano)","Aces high : over the clouds : march"
"79","actadelasesinp00acad","Academia provincial de bellas artes, Barcelona",1900,"Barcelona, Imprenta Barcelonesa",NA,"Acta de la sesión pública celebrada el 18 de febrero de 1900"
"80","actrelativetocom00cali","California",1876,"Sacramento : State Printing Office","Board of Railroad Commissioners of the State of California","An act relative to the Commissioners of transportation of the State of California, their powers and duties. Approved April 3, 1876"
"81","adamauabericht00pass",NA,1895,"Berlin, Geographische Verlagshandlung D. Reimer",NA,"Adamaua. Bericht über die Expedition des Deutschen Kamerun-Komitees in den Jahren 1893/94"
"82","adclarissimumvir01rhti",NA,1540,"Excusum Gedani : Per Franciscum Rhodum","Copernicus, Nicolaus, 1473-1543","Ad clarissimum virum D. Ioannem Schonerum, De libris reuolutionu[m] eruditissimi viri, & mathematici excellentissimi, Reuerendi D. Doctoris Nicolai Copernici ... per quendam Iuuenem, mathematicae studiosum Narratio prima .."
"83","additionalmounds00moor","Moore, Clarence B. (Clarence Bloomfield), 1852-1936",1922,"New York, N.Y. : Museum of the American Indian, Heye Foundation",NA,"Additional mounds of Duval and of Clay counties, Florida : mound investigation on the east coast of Florida. Certain Florida coast mounds north of the St. Johns River"
"84","addressatunveil00curt",NA,1883,"New York, Harper & brothers","Washington, George, 1732-1799","An address at the unveiling of the statue of Washington : [sculptor: John Q.A. Ward] upon the spot where he took the oath as first president of the United States. Delivered on the (25th) 26th November, 1883, the one Hundredth anniversary of the evacuation of the city of New York by the British army"
"85","addressdelivered00dall","Dallas, George Mifflin, 1792-1864",1847,"Washington, Printed at the office of Blair and Rives",NA,"Address delivered on occasion of laying the corner stone of the Smithsonian Institution, May 1, 1847"
"86","addressdelivered00tylo","Tylor, Edward Burnett, Sir, 1832-1917",1881,"London : Printed by Harrison and Sons","Anthropological Institute of Great Britain and Ireland","An address delivered to the Anthropological Institute of Great Britain and Ireland"
"87","adladelabill00port","Portalis, Roger, baron, 1841-1912",1902,"Paris, G. Petit",NA,"Adélaïde Labille-Guiard (1749-1803)"
"88","AdrianiMetiiDeg00Meti","Metius, Adriaan Adriaansz",1626,"apud G. J. Cæsium","Early works to 1800","Adriani Metii ... De genuino usu utriusque globi tractatvs"
"89","adventuresBaron00Dore","Doré, Gustave, 1832-1883",1867,"London ; New York : Cassell, Petter and Galpin",NA,"The adventures of Baron Munchausen"
"90","aebrooksscollect00broo","Brooks, A. E",1899,"259 p. : ill. ;","Brooks, A. E","A.E. Brooks's collection of antique guns, pistols, etc., Hartford, Conn"
"91","Aerialflight00Dupo",NA,1871,"Philadelphia : C.F. Escher & Son","Piano music","Aerial flight : galop brillante"
"92","aeronauti111118021903glen",NA,1902,"Glenville, Ohio",NA,"Aeronautical world"
"93","aeronautics1112aero",NA,1907,"New York","Aeronautics","Aeronautics"
"94","aeronautics12aero",NA,1907,"New York","Aeronautics","Aeronautics"
"95","aeronautics1314aero",NA,1907,"New York","Aeronautics","Aeronautics"
"96","aeronautics1517aero",NA,1907,"New York","Aeronautics","Aeronautics"
"97","aeronautics34aero",NA,1907,"New York","Aeronautics","Aeronautics"
"98","aeronautics56aero",NA,1907,"New York","Aeronautics","Aeronautics"
"99","aeronautics78aero",NA,1907,"New York","Aeronautics","Aeronautics"
"100","aeronautics910aero",NA,1907,"New York","Aeronautics","Aeronautics"
"101","aeroplan101916lond",NA,1911,"[London : Temple Press]",NA,"The Aeroplane"
"102","aeroplan111916lond",NA,1911,"[London : Temple Press]",NA,"The Aeroplane"
"103","aeroplan121917lond",NA,1911,"[London : Temple Press]",NA,"The Aeroplane"
"104","aeroplan131917lond",NA,1911,"[London : Temple Press]",NA,"The Aeroplane"
"105","aeroplan141918lond",NA,1911,"[London : Temple Press]",NA,"The Aeroplane"
"106","aeroplan161919lond",NA,1911,"[London : Temple Press]",NA,"The Aeroplane"
"107","aeroplan171919lond",NA,1911,"[London : Temple Press]",NA,"The Aeroplane"
"108","aeroplane00Glog",NA,1913,"Chicago, Ill. : Will Rossiter","Piano music (Ragtime)","The aeroplane : rag and two-step"
"109","aeroplane00Whit",NA,1921,"New York : Composers' Music Corp.","Piano music","The aeroplane : op. 38, no. 2"
"110","aeroplane101916lond",NA,1911,"[London : Temple Press]",NA,"The Aeroplane"
"111","aeroplane111916lond",NA,1911,"[London : Temple Press]",NA,"The Aeroplane"
"112","aeroplane121917lond",NA,1911,"[London : Temple Press]",NA,"The Aeroplane"
"113","aeroplane131917lond",NA,1911,"[London : Temple Press]",NA,"The Aeroplane"
"114","Aeroplane15",NA,1911,"[London : Temple Press]",NA,"The Aeroplane"
"115","aeroplane151918lond",NA,1911,"[London : Temple Press]",NA,"The Aeroplane"
"116","aeroplane171919lond",NA,1911,"[London : Temple Press]",NA,"The Aeroplane"
"117","aeroplane181920lond",NA,1911,"[London : Temple Press]",NA,"The Aeroplane"
"118","aeroplane191920lond",NA,1911,"[London : Temple Press]",NA,"The Aeroplane"
"119","aeroplane201921lond",NA,1911,"[London : Temple Press]",NA,"The Aeroplane"
"120","aeroplane21912lond",NA,1911,"[London : Temple Press]",NA,"The Aeroplane"
"121","aeroplane221922lond",NA,1911,"[London : Temple Press]",NA,"The Aeroplane"
"122","aeroplane231922lond",NA,1911,"[London : Temple Press]",NA,"The Aeroplane"
"123","aeroplane31912lond",NA,1911,"[London : Temple Press]",NA,"The Aeroplane"
"124","aeroplane41913lond",NA,1911,"[London : Temple Press]",NA,"The Aeroplane"
"125","aeroplane51913lond",NA,1911,"[London : Temple Press]",NA,"The Aeroplane"
"126","aeroplane61914lond",NA,1911,"[London : Temple Press]",NA,"The Aeroplane"
"127","aeroplane71914lond",NA,1911,"[London : Temple Press]",NA,"The Aeroplane"
"128","aeroplane81915lond",NA,1911,"[London : Temple Press]",NA,"The Aeroplane"
"129","aeroplane91915lond",NA,1911,"[London : Temple Press]",NA,"The Aeroplane"
"130","Aeroplanedip00Pryo",NA,1914,"New York : Carl Fisher","Wilson, G. Hepburn (George Hepburn), b. 1876","Aeroplane dip : hesitation waltz : valse Boston"
"131","Aeroplaneduet00Bere",NA,1911,"New York : Jerome H. Remick & Co.","Vocal duets with orchestra","Aeroplane duet : Kitty, Donald"
"132","aeroplanewaltz00Appl",NA,1911,"St. Louis, Mo. : Alice Martin","Waltzes","The aeroplane waltz"
"133","Aerotravelers00Weis",NA,1909,"New York : Carl Fischer","Waltzes","Aero travelers = Die Luftschwärmer : waltz"
"134","africaneuropeana00roos",NA,1910,"New York, London, G.P. Putnam's Sons","Political science","African and European addresses"
"135","africaredeemedor00lond",NA,1851,"London : J. Nisbet",NA,"Africa redeemed : or, The means of her relief illustrated by the growth and prospects of Liberia"
"136","agencegneraled00pari",NA,1890,"Paris : L. Brou","Postage stamps","Agence génerale des timbres du Japon : (postes-télégraphes-fiscaux). : vente, achat, échange"
"137","ageofzunipuebloo32hodg","Hodge, Frederick Webb, 1864-1956",1920,"New York : Museum of the American Indian, Heye Foundation","Zuni Indians","The age of the Zuni pueblo of Kechipauan"
"138","agreementbetween00lehi",NA,1887,"[S.l.] : Evening Post Job Print",NA,"Agreement between the Lehigh Coal and Navigation Co. and the Central Railroad Company of New Jersey, dated June 28, 1887"
"139","aimsobjectsofmus00muse","Museum of the American Indian, Heye Foundation",1936,"New York : Museum of the American Indian, Heye Foundation",NA,"Aims and objects of the Museum of the American Indian, Heye foundation"
"140","aimsobjectsofmus01muse","Museum of the American Indian, Heye Foundation",1929,"New York, N.Y. : Museum of the American Indian, Heye Foundation",NA,"Aims and objects of the Museum of the American Indian, Heye Foundation"
"141","aimsobjectsofmus02muse","Museum of the American Indian, Heye Foundation",1922,"New York : Museum of the American Indian, Heye Foundation",NA,"Aims and objects of the Museum of the American Indian. : Heye foundation"
"142","aircraft119101911newy",NA,1910,"New York, Lawson Publishing Company",NA,"Aircraft"
"143","aircraft219111912newy",NA,1910,"New York, Lawson Publishing Company",NA,"Aircraft"
"144","aircraft319121913newy",NA,1910,"New York, Lawson Publishing Company",NA,"Aircraft"
"145","aircraft419131914newy",NA,1910,"New York, Lawson Publishing Company",NA,"Aircraft"
"146","aircraft519141915newy",NA,1910,"New York, Lawson Publishing Company",NA,"Aircraft"
"147","airline00Smit",NA,1915,"Indianapolis, Ind. : Seidel Music Pub. Co.","Marches (Piano)","The air line : march and two-step"
"148","Airopaidia00Bald",NA,1786,"Chester, Printed for the author, by J. Fletcher; and sold by W. Lowndes ... London; J. Poole, Chester; and other booksellers","Aeronautics","Airopaidia: containing the narrative of a balloon excursion from Chester, the eighth of September, 1785, taken from minutes made during the voyage: hints on the improvement of balloons ... to which is subjoined mensuration of heights by the barometer, made plain; with extensive tables. The whole serving as an introduction to aërial navigation. With a copious index"
"149","airplanewaltz00Mass",NA,1918,"Seattle : Sound Music Pub. Co.","Piano music","The airplane waltz"
"150","airshipandyorluc00webs","Webster, Frank V",1911,"New York : Cupples & Leon Company","Airships","Airship Andy, or, The luck of a brave boy"
"151","AirshipCannonba00Batt",NA,1917,"New York : A.E. Bohrer Music Pub. Co.","Marches (Voice with piano)","Airship ""Cannonball"" is leaving"
"152","airshipparade00Fitz",NA,1911,"New York : Ben. Ritchie Co.","Marches (Piano)","The airship parade : march and two-step"
"153","airshipsparade00Gear",NA,1902,"Brooklyn, N.Y. : Goetz","Marches (Piano)","The airships parade : march, two step"
"154","airshipwaltz00Dole",NA,1891,"Indianapolis, Ind. : Issac Doles","Waltzes","The air ship waltz : for piano or organ"
"155","akimotoshishaku02toky","Tokyo Bijutsu Kurabu",1917,"Tokyo : Tokyo Bijutsu Kurabu",NA,"Akimoto Shishaku-ke onzoki nyusatsu"
"156","akimotoshishakuk01toky","Tokyo Bijutsu Kurabu",1917,"Tokyo : Tokyo Bijutsu Kurabu",NA,"Akimoto Shishaku-ke onzoki nyusatsu"
"157","akuzilleputigaqu03krup",NA,2002,"Washington, D.C. : Arctic Studies Center, National Museum of Natural History, Smithsonian Institution","Yupik Eskimos","Akuzilleput igaqullghet = Our words put to paper : sourcebook in St. Lawrence Island heritage and history"
"158","alaskaamericasco13walk","Walker, Ernest P. (Ernest Pillsbury), 1891-1969",1943,"City of Washington : The Smithsonian Institution",NA,"Alaska America's continental frontier outpost"
"159","albumdebroderies01dill","Dillmont, Thérèse de, 1846-1890",1890,"[Mulhouse (Alsace) Printed by Brustlein & Co.]",NA,"Album de broderies au point de croix"
"160","albumdebroderies02dill","Dillmont, Thérèse de, 1846-1890",1890,"[Mulhouse (Alsace) Printed by Brustlein & Co.]",NA,"Album de broderies au point de croix"
"161","albumdebroderies03dill","Dillmont, Thérèse de, 1846-1890",1890,"[Mulhouse (Alsace) Printed by Brustlein & Co.]",NA,"Album de broderies au point de croix"
"162","albumdedentelled00hard",NA,1900,"[Paris] : Manufacture Parisienne des Cotons L.V. et M.F.A.",NA,"Album de dentelle de Venise"
"163","albumdefiletbrod00hard","Hardouin, G",1900,"[Paris?] : Manufacture parisienne des cotons L.V. et M.F.A.","Netting","Album de filet brodé"
"164","albumdeguipuredi16hard",NA,1900,"[Paris] : Manufacture parisienne des cotons","Irish crochet lace","Album de guipure d'Irlande"
"165","albumdelarenaiss01hirt","Hirth, Georges",1800,"Leipsic : G. Hirth ; Bruxelles : H.V. van Gogh ; Paris : Ducher & cie",NA,"Album de la Renaissance"
"166","albumdelarenaiss02hirt","Hirth, Georges",1800,"Leipsic : G. Hirth ; Bruxelles : H.V. van Gogh ; Paris : Ducher & cie",NA,"Album de la Renaissance"
"167","albummittelalter00kall","Kallenbach, Georg Gottfried, 1805-1865",1846,"München, E. Roller","Art, Medieval","Album mittelalterlicher Kunst"
"168","albumofphotograp00slgw",NA,1903,"[S.l.] : G.W. Wilson",NA,"Album of photographic views of South Africa"
"169","aleutianislandst21coll",NA,1945,"City of Washington : Smithsonian Institution","Aleuts","The Aleutian islands: their people and natural history (with keys for the identification of the birds and plants)"
"170","alexandrefalgui00bn",NA,1902,"Paris : Librairie de l'art ancien et moderne",NA,"Alexandre Falguière"
"171","alimoambiquebild00haue","Hauer, August, 1886-",1922,"Berlin : Safari-Verlag",NA,"Ali Moçambique : Bilder aus dem Leben eines schwarzen Fabeldichters"
"172","allegedfraudsonc00uni","United States. President (1837-1841 : Van Buren)",1838,"[Washington, D.C.] : T. Allen, print.","Creek Indians","Alleged frauds on Creek Indians : message from the President of the United States, transmitting information in relation to alleged frauds on the Creek Indians in the sale of their reservations"
"173","allthatglisterst00coop",NA,1950,"[New York]",NA,"All that glisters; thirty centuries of golden deception"
